전투사건 ID	등장 챕터	등장 스테이지	전투사건 타입	몬스터 1 ID	몬스터 1 레벨	몬스터 1 수	몬스터 2 ID	몬스터 2 레벨	몬스터 2 수
BattleEventID	IncludedChapter	IncludedStage	BattleEventType	Monster_ID_1	Monster_LV_1	Monster_Num_1	Monster_ID_2	Monster_LV_2	Monster_Num_2
int	int	int	string	int	int	int	int	int	int
40001	1	1	Normal	21001	1	4	0	0	0
40002	1	1	Normal	21002	1	2	21001	1	2
40011	1	1	Elite	21201	1	1	21001	1	2
40012	1	1	Elite	21201	1	1	21002	1	2
40021	1	1	Boss	21301	1	1	0	0	0
40101	1	2	Normal	21003	1	4	0	0	0
40102	1	2	Normal	21004	1	2	21003	1	2
40111	1	2	Elite	21202	1	1	21003	1	2
40111	1	2	Elite	21202	1	1	21004	1	2
40121	1	2	Boss	21302	1	1	0	0	0
40201	1	3	Normal	21005	1	4	0	0	0
40202	1	3	Normal	21006	1	2	21005	1	2
40211	1	3	Elite	21203	1	1	21005	1	2
40212	1	3	Elite	21203	1	1	21006	1	2
40221	1	3	BossFinal	21303	1	1	0	0	0
