캐릭터 ID	캐릭터 명	캐릭터 명(영문)	캐릭터 등급	캐릭터 역할	마나	마나 회복량(초)	체력	공격 속도	공격력	방어력	캐릭터 패시브 스킬1	캐릭터 액티브 스킬1	캐릭터 패시브 스킬 이펙트	캐릭터 액티브 스킬 이펙트	캐릭터 소개 문구
chaID	chaName	chaNameEn	chaGrade	chaRole	chaMP	chaMPRecovery	chaHP	chaAtkSpeed(s)	chaAttack	chaArmor	chaPassiveSkill	chaActiveSkill	chaPassiveSkillEffect	chaActiveSkillEffect	chaIntroduction_Text
int	string	enum	enum	enum	float	float	float	float	float	float	int	int	int	int	string
11001	엄모안	EMA	Normal	Buffer	0	0	700	0.7	50	10	12001	-1	-1	-1	현모양처의 포근한 성품과 출중한 요리실력을 가지고 있는 아름다운 그녀지만, 아이를 병으로 잃은 안타까운 사연을 가지고 있다.
11002	육호연	YHY	Normal	Tanker	0	0	1000	0.7	50	20	12002	-1	-1	-1	고기를 매우 좋아한다. 한평생 육식만 한 덕에 그녀의 신체는 바위처럼 단단해졌다.
11003	산드레	SDR	Normal	Melee	0	0	900	0.7	80	15	12003	-1	-1	-1	null
11004	달리아	DRA	Normal	Ranged	0	0	600	0.7	100	5	12004	-1	-1	-1	null
11005	장희빈	JHB	Normal	Debuffer	0	0	800	0.7	50	10	12005	-1	-1	-1	null
11201	한서리	HSR	Rare	Buffer	70	7	770	0.7	70	20	12001	12201	-1	-1	null
11202	백천아	BCA	Rare	Tanker	70	7	1100	0.7	70	30	12002	12202	-1	-1	null
11203	소인랑	SIL	Rare	Melee	50	5	990	0.7	100	25	12004	12204	-1	-1	null
11204	고서은	GSE	Rare	Ranged	50	10	660	0.7	120	15	12005	12205	-1	-1	null
11205	백웅	BW	Rare	Debuffer	70	7	880	0.7	70	20	12003	12203	-1	-1	null
