캐릭터 레벨,필요 경험치량,캐릭터 스킬 해금,체력,공격력,방어력
chaLevel,chaLevelPoint,chaSkillUnlock,chaHP_IncreasePercent,chaAttack_IncreasePercent,chaArmor_IncreasePercent
int,int,bool,float,float,float
1,1000,true,1,1,1
2,2500,true,1.1,1.1,2
3,4000,true,1.2,1.2,3
4,5500,true,1.3,1.3,4
5,7000,true,1.4,1.4,5
6,8500,true,1.5,1.5,6
7,10000,true,1.6,1.6,7
8,11500,true,1.7,1.7,8
9,13000,true,1.8,1.8,9
10,16000,true,2,2,10
11,20000,true,2.2,2.2,11
12,24000,true,2.4,2.4,12
13,28000,true,2.6,2.6,13
14,32000,true,2.8,2.8,14
15,36000,true,3,3,15
16,43000,true,3.3,3.3,16
17,50000,true,3.6,3.6,17
18,57000,true,3.9,3.9,18
19,64000,true,4.2,4.2,19
20,71000,true,4.5,4.5,20
21,85000,true,5,5,21
22,99000,true,5.5,5.5,22
23,113000,true,6,6,23
24,127000,true,6.5,6.5,24
25,141000,true,7,7,25
26,163000,true,8,8,26
27,185000,true,9,9,27
28,207000,true,10,10,28
29,229000,true,11,11,29
30,251000,true,12,12,30
