사건 ID	사건	사건 등장 스테이지	사건의 보상(결과) 타입	사건 등장 내용 텍스트	사건 유형	선택지 갯수	선택지 텍스트 내용	등급	내 소유물 사용 여부	사건 보상 ID	유물 선택지 최소 수	유물 선택지 최대 수	보상(결과)의 양	결과 선택지	사건 퇴장 내용 텍스트 
Encount_ID	Encounter_Sentiment	 Encount_Stage	Result_Type	Encounter_Text	Encounter_Type	Choice_Count	Choice_Text[3]	Random_Type	Result_Owned	Result_ID[3]	Result_MinCount	Result_MaxCount	Result_Mount[2]	ResultChoice	Encount_Exit_Text[4]
int	enum	int	enum	string	enum	int	string	enum	bool	string(true 엽전)	int	int	int	int	string
5001	Good	1	Fixed	길을 걷다가 돈주머니를 주웠습니다!	Money	1	null`null`null	None	FALSE	true`0`0	0	0	1000`0	1	엽전 +1000
5002	Good	2	Fixed	길을 걷다가 돈주머니를 주웠습니다!	Money	1	null`null`null	None	FALSE	true`0`0	0	0	2000`0	1	엽전 +2000
5003	Good	3	Fixed	길을 걷다가 돈주머니를 주웠습니다!	Money	1	null`null`null	None	FALSE	true`0`0	0	0	3000`0	1	엽전 +3000
5004	Good	1	Fixed	당신은 낡은 집에서 나무 궤짝을 발견하고 열어봅니다.\n안에는 엽전이 가득 들어있었습니다!\n 	Money	1	null`null`null	None	FALSE	true`0`0	0	0	1500`0	1	엽전 +1500
5005	Good	2	Fixed	당신은 낡은 집에서 나무 궤짝을 발견하고 열어봅니다.\n안에는 엽전이 가득 들어있었습니다!\n 	Money	1	null`null`null	None	FALSE	true`0`0	0	0	3000`0	1	엽전 +3000
5006	Good	3	Fixed	당신은 낡은 집에서 나무 궤짝을 발견하고 열어봅니다.\n안에는 엽전이 가득 들어있었습니다!\n 	Money	1	null`null`null	None	FALSE	true`0`0	0	0	4500`0	1	엽전 +4500
5007	Good	1	Random	 왠지 모르게 힘이 강해진 것 같습니다!	Relic	1	null`null`null	Normal	FALSE	false`11001`11029	1	1	0`1	1	아래의 유물을 획득합니다.
5008	Good	2	Random	 왠지 모르게 힘이 강해진 것 같습니다!	Relic	1	null`null`null	Rare	FALSE	false`11001`11029	1	1	0`1	1	아래의 유물을 획득합니다.
5009	Good	3	Random	 왠지 모르게 힘이 강해진 것 같습니다!	Relic	1	null`null`null	Rare	FALSE	false`11001`11029	1	1	0`1	1	아래의 유물을 획득합니다.
5010	Good	1	Random	 왠지 모르게 단단해진것 같습니다!	Relic	1	null`null`null	Normal	FALSE	false`11001`11030	1	1	0`1	1	아래의 유물을 획득합니다.
5011	Good	2	Random	 왠지 모르게 단단해진것 같습니다!	Relic	1	null`null`null	Rare	FALSE	false`11001`11031	1	1	0`1	1	아래의 유물을 획득합니다.
5012	Good	3	Random	 왠지 모르게 단단해진것 같습니다!	Relic	1	null`null`null	Rare	FALSE	false`11001`11032	1	1	0`1	1	아래의 유물을 획득합니다.
5013	Good	1	Random	왠지 모르게 건강해진것 같습니다!	Relic	1	null`null`null	Normal	FALSE	false`11001`11033	1	1	0`1	1	아래의 유물을 획득합니다.
5014	Good	2	Random	왠지 모르게 건강해진것 같습니다!	Relic	1	null`null`null	Rare	FALSE	false`11001`11034	1	1	0`1	1	아래의 유물을 획득합니다.
5015	Good	3	Random	왠지 모르게 건강해진것 같습니다!	Relic	1	null`null`null	Rare	FALSE	false`11001`11035	1	1	0`1	1	아래의 유물을 획득합니다.
5016	Good	1	Random	길을 지나다가, 물고기가 가득한 호수를\n발견했습니다. 이제 보니까, 호수에 있는 물고기가\n식재료로써 쓸만한 것들 뿐 입니다.\n 근데 미끼가 딱 1개만 있어서,\n단 한 마리만 잡을 수 있을 것 같습니다...\n무엇을 잡을지 고민해봅시다...	RelicSel	3	유물1`유물 2`유물 3	Rare	FALSE	false`11001`11036	3	3	0`1	1	아래의 유물을 획득합니다.
5017	Good	0	Mixed	길을 걷고, 뭔가 땅에 반쯤 묻혀 있는 것을 발견하고\n자세히 살펴보니, 값진 보물이 들어있는 보물상자 입니다.\n살다보면, 이런 좋은 일도 있기 마련이죠!	Luck	1	null`null`null	Rare	FALSE	true`11001`11029	2	3	5000`1	1	엽전 + 5000`아래의 유물들을 획득합니다.
5018	Good	1	Random	길을 가던 중, 낡은 상자를 발견해서 열어보니 쓸만해보이는 걸\n얻었습니다.	Relic	1	null`null`null	Normal	FALSE	false`11001`11029	1	1	0`1	1	아래의 유물을 획득합니다.
