몬스터 ID	몬스터 명	몬스터 명(영문)	몬스터 타입	몬스터 소환 여부	몬스터 공격 사거리	몬스터 이동 속도	몬스터 사용 스킬1	몬스터 사용 스킬2	소환 몬스터 ID1	소환 몬스터 ID2	소환 몬스터 ID3	몬스터 태그	몬스터 특징1	몬스터 특징2
monID	monName	monNameEn	monType	monSummon	monAtkRange	monMoveSpeed	monSkill1	monSkill2	monSummonID1	monSummonID2	monSummonID3	monTag	monDescription1	monDescription2
int	string	enum	enum	bool	int	float	int	int	int	int	int	string	string	string
21001	시골 들쥐	FieldMouse	Normal	FALSE	1	1.2	-1	-1	-1	-1	-1	#근거리	시골에서 흔히 볼 수 있는 들쥐.	덩치는 작지만, 물리지 않게 조심하자.
21002	희미한 도깨비 불	MistGoblinFire	Normal	FALSE	3	1.2	-1	-1	-1	-1	-1	#원거리	어두운 시골 길에서 드물게 볼 수 있는 도깨비 불.	장난기가 심하니 마주치면 조심하자.
21003	허브 슬라임	HerbSlime	Normal	FALSE	3	1	-1	-1	-1	-1	-1	#원거리	약초에서 흘러나온 기운이 모여 형성된 슬라임.	약초의 효능이 변질되었으니 혹시라도 먹을 생각은 하지 말자.
21004	산 멧돼지	MountainBoar	Normal	FALSE	1	1.2	-1	-1	-1	-1	-1	#근거리	산에서 볼 수 있는 멧돼지	눈앞에 움직이는 대상을 공격하는 습성이 있다.
21005	귀신 박쥐	GhostBat	Normal	FALSE	3	1	-1	-1	-1	-1	-1	#원거리	귀신 들린 생명체를 흡혈하여 몸집과 힘이 강해진 박쥐	일반 박쥐 보다 강력한 초음파를 내뿜어 적을 공격한다.
21006	먼지뭉치	DustBall	Normal	FALSE	1	1.2	-1	-1	-1	-1	-1	#근거리 #디버프	습하고 어두운 곳에서 생성된 먼지 덩어리	몸의 형태를 자유자재로 변형하여 적을 공격한다.
21201	그림자 허수아비	ShadowScarecrow	Elite	FALSE	1	1	22001	-1	-1	-1	-1	#근거리 #버프	허수아비의 그림자에 자아가 깃들어, 그림자를 통해 주변을 돌아다닌다.	그림자에 지배당한 대상은 몸이 허수아비처럼 굳어버린다는 소문이 있다.
21202	부패한 꽃	CorruptedFlower	Elite	FALSE	3	1	22002	-1	-1	-1	-1	#원거리 #디버프	한 때는 아름다웠던 꽃이었지만, 오랜 시간 동안 오염되며 아름다움을 잃었다.	꽃가루 알레르기가 없더라도 절대 주위로 가지 말자.
21203	바위 골렘	RockGolem	Elite	FALSE	1	1.2	22003	-1	-1	-1	-1	#근거리	신비한 힘이 깃든 돌들이 뭉쳐져 위험한 능력을 가지게 되었다.	강력한 주먹에 맞으면 매우 아플 것 같다.
21301	무쇠 황소	IronBull	Boss	TRUE	-1	-1	22004	22005	21001	21001	21001	#강력함 #방어 #버프 #소환	일반적인 황소 처럼 보이지만, 피부가 무쇠만큼 단단하다.	무쇠 황소의 성질을 건드리면 좋지 않은 일이 벌어질 것 같다.
21302	거대 곰	GiantBear	Boss	TRUE	-1	-1	22006	22007	21003	21003	21003	#강력함 #버프 #디버프 #소환	일반 곰 2배 이상의 덩치를 가진 곰.	거대 곰을 상대 할 때는 마지막 까지 방심하지 말자.
21303	검숭이	BladeMonkey	Boss	TRUE	-1	-1	22008	22009	21005	21005	21005	 #강력함 #회피 #소환	누군가로 부터 검술을 배운 듯 한 원숭이	마구잡이로 휘두르는 것 처럼 보이지만, 매우 위협적이다.
