"몬스터 스킬 ID	스킬 명	스킬 명(영문)	스킬 발동 타입	스킬 타겟 타입	스킬 효과 유형	스킬 쿨타임	스킬 사거리	스킬 발동 조건(HP%)	스킬 발동 확률	스킬 지속 시간	스킬 효과 주기	스킬 타격 횟수	스킬 계수	스킬 효과 계수	스킬 상태이상 효과	스킬 설명"
"monSkillID	monSkillName	monSkillNameEn	monSkillType	monSkillTargetType	monSkillEfftectType	monSkillCd	monSkillRange	monSkillConHP	monSkillChance	monSkillDuration	monSkillTick	monSkillHit	monSkillValue	monEffectValue	monSkillCC	monSkillDescription"
"int	string	enum	string	string	string	float	int	int	float	float	float	int	float	float	string	string"
"22001	기괴한 어둠	EerieDarkness	Active	FriendlyAll	BuffDmg	5	-1	-1	-1	3	-1	-1	-1	0.2	None	모든 아군의 그림자를 조작하여 공격력을 상승시킨다."
"22002	위험한 꽃가루	DangerousPollen	Active	FriendlyAll	Heal	5	3	-1	-1	3	-1	1	1.2	-1	None	강력한 중독 효과가 있는 꽃가루를 퍼뜨려 모든 아군의 HP를 회복한다."
"22003	난도질	SavageSlash	Active	EnemyAll	Direct	3	1	-1	-1	-1	-1	5	0.4	-1	None	날카로운 앞발로 모든 적을 난도질 하여 여러 번 공격한다."
"22004	발 구르기	Stomp	Active	EnemyAll	Direct	2	5	-1	-1	-1	-1	1	1.3	-1	None	무거운 앞발로 땅을 내려치며 모든 적을 공격한다."
"22005	난폭한 돌진	SavageRush	Active	EnemySingle	Direct	10	5	-1	-1	-1	-1	1	2	-1	None	거대한 뿔을 세워 적에게 돌진하며 공격한다."
"22006	휘두르기	Swing	Active	EnemyAll	Direct	2	5	-1	-1	-1	-1	1	2.5	-1	None	거대한 앞발을 휘둘러 모든 적을 공격한다."
"22007	포효	Roar	Active	EnemyAll	DebuffArm	10	5	-1	-1	3	-1	1	1.5	0.5	None	사기가 저하 될 정도로 포효하며 모든 적의 방어력을 감소시킨다."
"22008	난폭한 베기	BrutalSlash	Active	EnemySingle	Direct	2	3	-1	-1	-1	-1	2	1.5	-1	None	검을 마구잡이로 휘둘러 적에게 치명적인 공격을 가한다."
"22009	원숭이 검술 1식	MonkeyBlade1	Active	EnemyAll	Direct	10	5	-1	-1	-1	-1	1	1.8	-1	None	호흡을 가다듬고 발도하여 모든 적을 공격한다."
