유물 ID	유물 영어 이름	유물 이름	유물 종류	유물 등급	유물 설명	유물 설명2	유물 적용 대상	유물 발동 조건	유물 발동 타입	발동 가능 역할군	공격력	방어력	최대 체력	치명타 데미지	공격 속도	명중률	회피율	마나 회복량	피해 흡혈	몬스터 방어력	몬스터 최대 체력	몬스터 공격력	몬스터 공격 속도	추가 보상	상점 할인
relicID	relicEnName	relicName	relicKind	relicGrade	relicDescription	relicDescription2	RelicTarget	isPassive	relicType	relicRole	chaAttack	chaArmor	chaHP	chaCritDmg	chaAtkSpeed	chaAccuracy	chaAvoid	chaMPRecovery	chaDrain	monArmor	monHP	monAttack	monAtkSpeed	addReward	storeDiscount
int	enum	string	enum	enum	string	string	enum	bool	enum	enum	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1101	SecretSauceJar	비밀 양념병	Buf	Rare	뚜껑 너머로 알 수 없는 기묘한 기운이 새어 나온다	아군 캐릭터가 스킬을 사용할 때 마다 모든 아군의 일반 공격력 10% 증가	Character	FALSE	ActiveSkill	None	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1102	Mixer	자동 반죽기	Buf	Rare	멈추지 않는 회전이 묘하게 중독적이다.	기본 공격 시, 회당 공격 속도 3% 증가. (최대 10 스택)	Character	FALSE	Attack	None	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
1106	OilPot	끓는 기름 솥	Buf	Rare	넘실대는 거품 속에 위험이 함께 끓어오른	10초마다 중첩 가능한 공격력 10% 증가	Character	FALSE	Time	None	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1107	Grill	1인분 철판	Buf	Rare	혼자서도 충분히 뜨거운 무대를 만들어낸다.	마지막에 남은 아군 캐릭터의 공격력 30% 증가, 일반 공격 피해량의 20% 회복	Character	FALSE	ChaNumber	None	30	0	0	0	0	0	0	0	20	0	0	0	0	0	0
1108	ValveSwitch	연계식 밸브 스위치	Buf	Rare	사소한 전환이 연쇄처럼 거대한 변화를 일으킨다	아군 캐릭터가 스킬을 사용할 때 마다 모든 아군 캐릭터의 공격 속도 10% 증가	Character	FALSE	ActiveSkill	None	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
1109	BrothPot	배수된 육수통	Buf	Rare	비어 있는 소리가 이상하게 허전하게 울린다.	아군 캐릭터의 마나 회복 속도 20% 증가	Character	TRUE	None	None	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0
1110	IronLid	무쇠 냄비 뚜껑	Buf	Rare	뜨거움도, 공격도 함께 막아내는 단단한 방패.	근거리 아군 캐릭터의 최대 체력 10%, 방어력 10%, 회피율 10% 증가	Character	TRUE	ChaRole	Melee	0	10	10	0	0	10	0	0	0	0	0	0	0	0	0
1111	BurdenedQuiver	무거운 화살통	Buf	Rare	무게에 눌리지만, 쏟아낼 땐 무자비하다.	원거리 아군 캐릭터의 공격력 10%, 치명타 데미지 10%, 공격 속도 10% 증가	Character	TRUE	ChaRole	Ranged	10	0	0	10	10	0	0	0	0	0	0	0	0	0	0
1112	LuckyReceipt	행운의 영수증	Buf	Rare	남겨진 숫자마다 기묘한 우연이 따라붙는다.	전투에서 살아남은 아군 캐릭터 1명당 추가 10% 보상	Character	FALSE	ChaNumber	None	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0
1113	SaltJar	소금 독	Buf	Rare	한 알 한 알이 적의 기운을 서서히 갉아먹는다.	적 몬스터의 방어력 10%, 최대체력 10% 감소	Monster	TRUE	None	None	0	0	0	0	0	0	0	0	0	-10	-10	0	0	0	0
1114	HerbalSatchel	허브 팩	Buf	Rare	은은한 향이 전장을 무겁게 가라앉힌다.	적 몬스터의 공격력 10%, 공격 속도 10% 감소	Monster	TRUE	None	None	0	0	0	0	0	0	0	0	0	0	0	-10	-10	0	0
1115	HeatproofLid	방열 뚜껑	Buf	Rare	뜨거운 화염조차 차단하는 견고한 덮개.	2%의 확률로 적 몬스터의 피해 무효화	Character	FALSE	None	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1116	ThermalFlask	보온 보관병	Buf	Rare	작은 증기 배출구가 있어 열기가 은은히 새어나온다.	버프 유물 개수 당 모든 능력치 5% 상승	Character	TRUE	RelicNumber	None	5	5	5	5	5	5	5	5	0	0	0	0	0	0	0
1001	Frypan	무쇠 후라이팬	Buf	Normal	묵직한 무게감 속에 전장의 흔적이 스며 있다.	모든 아군 캐릭터의 공격력 10%, 방어력 증가	Character	TRUE	None	None	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1002	BoneBroth	뼈 육수	Buf	Normal	오래 고아낸 향이 힘줄까지 스며드는 듯하다.	모든 아군 캐릭터의 최대 체력 20% 증가	Character	TRUE	None	None	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0
